tract_geoid,NAME,state_fips,total_population,median_household_income
48029170401,Census Tract 1704.01; Bexar County; Texas,48,3838,32734
48029170402,Census Tract 1704.02; Bexar County; Texas,48,4666,37663
48029170500,Census Tract 1705; Bexar County; Texas,48,3859,50516
48029170600,Census Tract 1706; Bexar County; Texas,48,3900,54750
48029170700,Census Tract 1707; Bexar County; Texas,48,4553,43947
48029170800,Census Tract 1708; Bexar County; Texas,48,2027,45104
48029170900,Census Tract 1709; Bexar County; Texas,48,3622,40609
48029171000,Census Tract 1710; Bexar County; Texas,48,5718,35197
48029171100,Census Tract 1711; Bexar County; Texas,48,3395,34773
48029171200,Census Tract 1712; Bexar County; Texas,48,4021,28438
48029171301,Census Tract 1713.01; Bexar County; Texas,48,3078,43906
48029171302,Census Tract 1713.02; Bexar County; Texas,48,4270,38875
48029171401,Census Tract 1714.01; Bexar County; Texas,48,4281,52813
48029171402,Census Tract 1714.02; Bexar County; Texas,48,6381,46574
48029171501,Census Tract 1715.01; Bexar County; Texas,48,2464,39904
48029171502,Census Tract 1715.02; Bexar County; Texas,48,4711,36862
48029171601,Census Tract 1716.01; Bexar County; Texas,48,3721,38875
48029171602,Census Tract 1716.02; Bexar County; Texas,48,5163,33681
48029171700,Census Tract 1717; Bexar County; Texas,48,8748,50516
48029171801,Census Tract 1718.01; Bexar County; Texas,48,5315,48093
48029171802,Census Tract 1718.02; Bexar County; Texas,48,6477,36295
48029171903,Census Tract 1719.03; Bexar County; Texas,48,5410,46601
48029171912,Census Tract 1719.12; Bexar County; Texas,48,7229,83554
48029171913,Census Tract 1719.13; Bexar County; Texas,48,4510,63688
48029171914,Census Tract 1719.14; Bexar County; Texas,48,5445,86107
48029171915,Census Tract 1719.15; Bexar County; Texas,48,1540,79115
48029171916,Census Tract 1719.16; Bexar County; Texas,48,10991,96020
48029171917,Census Tract 1719.17; Bexar County; Texas,48,9342,94750
48029171918,Census Tract 1719.18; Bexar County; Texas,48,7850,71560
48029171919,Census Tract 1719.19; Bexar County; Texas,48,6785,81367
48029171920,Census Tract 1719.20; Bexar County; Texas,48,9177,68444
48029171921,Census Tract 1719.21; Bexar County; Texas,48,7516,80287
48029171922,Census Tract 1719.22; Bexar County; Texas,48,6328,77272
48029171923,Census Tract 1719.23; Bexar County; Texas,48,9695,77343
